ticker	name	fundType	manager	lastDividendYield	lastEarning	equity	equityPerShare	registrationDate	managementType	shareQuantity	standardDeviation	mean	median	sampleSize
ABCP11	Grand Plaza Shopping	Tijolo: Shoppings	Rio Bravo Investimentos	0,0075	R$0,46	R$1,08 B	R$88,73	15/05/1996	Renda Gestão Passiva	12.203.833	0,00187	0,00571	0,00571	10
AFCR11	AF Invest FII Recebíveis Imobiliários	Papel: CRIs	CM Capital Markets	0,0126	R$1,30	R$154,89 M	R$102,29	05/09/2019	Híbrido Gestão Ativa	1.514.227	0,00167	0,01036	0,01036	10
AFHI11	AF Invest CRI	Papel: CRIs	BTG Pactual	0,0124	R$1,20	R$174,74 M	R$97,75	20/10/2020	Títulos e Valores Mobiliários Gestão Ativa	1.787.671	0,00230	0,00921	0,00921	7
AFOF11	Alianza FOF	Papel: Fundo de Fundos	BRL Trust DTVM	0,0105	R$0,84	R$68,63 M	R$99,29	22/01/2020	Títulos e Valores Mobiliários Gestão Ativa	691.192	0,00996	0,01358	0,01358	5
AIEC11	Autonomy Edifícios Corporativos	Tijolo: Escritórios	Modal DTVM	0,0086	R$0,61	R$485,67 M	R$100,66	24/08/2020	Renda Gestão Ativa	4.824.987	0,00070	0,00683	0,00683	10
ALMI11	Torre Almirante	Tijolo: Escritórios	BTG Pactual	0,0004	R$0,37	R$228,90 M	R$2.058,91	03/01/2006	Renda Gestão Passiva	111.177	0,01132	0,01516	0,01516	10
ALZR11	Alianza Trust Renda Imobiliária	Tijolo: Híbrido	BTG Pactual	0,0062	R$0,64	R$643,01 M	R$108,58	20/10/2017	Renda Gestão Ativa	5.922.011	0,00070	0,00526	0,00526	10
ANCR11B	Ancar IC	Tijolo: Shoppings	Genial Investimentos Corretora de Valores	0,015600000000000001	R$52,60	R$1,52 B	R$3.359,75	11/04/2011	Desenvolvimento para Renda Gestão Ativa	451.113	-1.0	-1.0	0	0
ARCT11	Riza Arctium Real Estate	Tijolo: Galpões	BTG Pactual	0,0144	R$1,44	R$164,85 M	R$103,19	31/07/2017	Híbrido Gestão Ativa	1.597.568	0,00438	0,00983	0,00983	10
ARRI11	Átrio Reit Recebíveis Imobiliários	Papel: CRIs	Oliveira Trust	0,0151	R$1,41	R$99,04 M	R$94,47	01/07/2019	Títulos e Valores Mobiliários Gestão Ativa	1.048.320	0,00267	0,01150	0,01150	10
ATCR11	HAZ	Tijolo: Escritórios	RJI CTVM LTDA	0,0	R$0,22	R$72,55 M	R$78,10	12/11/2004	Títulos e Valores Mobiliários Gestão Ativa	928.908	-1.0	-1.0	0	0
ATSA11	Hedge Atrium Shopping Santo André	Tijolo: Shoppings	Hedge Investments DTVM LTDA	0,0025	R$0,25	R$172,43 M	R$98,47	13/12/2010	Desenvolvimento para Renda Gestão Passiva	1.751.141	0,00134	0,00269	0,00269	7
