ticker	nome	segmento	tipoGestao	cotacao	dataCotacao	min52W	max52W	volumeMedioDiarioL2M	valorMercado	numeroCotas	dataUltimoRelatorio	urlHistorico	ffoYield	dividendYield	p_vp	ffoPorCota	dyPorCota	vpPorCota	ativos	patrimonioLiquido	qtdImoveis	qtdUnidades	imoveisPorPatrimonioLiquido	area	aluguelPorM2	precoPorM2	capRate	vacanciaMedia	
ABCP11	FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING	Shoppings	Passiva	68,00	22/10/2021	66,91	76,54	100.390	829.861.000	12.203.833	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=ABCP11&tipo=2	4,99%	6,3%	0,77	3,39	4,34	88,62	1.088.910.000	1.081.500.000	1	296	97,7%	69.628	733	11.640	6,3%	11,9%	
AEFI11	FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO BRAVO RENDA EDUCACIONAL- FII	Outros	Ativa	174,90	30/04/2019	0,00	0,00	0	353.582.000	2.021.621	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=AEFI11&tipo=2	6,27%	0,0%	1,16	10,96	0,00	150,24	334.669.000	303.735.000	5	5	104,0%	84.466	294	4.355	6,7%	0,0%	
AFCR11	AF INVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO - RECEBÍVEIS IMOBILIÁRIOS	Híbrido	Ativa	104,93	22/10/2021	91,94	108,98	371.942	158.888.000	1.514.227	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=AFCR11&tipo=2	9,79%	12,1%	1,03	10,27	9,93	102,29	157.411.000	154.888.000	0	0	0,0%	0	-	-	-	-	
AFHI11	AF INVEST CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO - RECEBÍVEIS IMOBILIÁRIOS	Títulos e Val. Mob.	Ativa	93,70	22/10/2021	86,24	95,84	835.456	167.505.000	1.787.671	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=AFHI11&tipo=2	1,77%	5,2%	0,97	1,66	4,95	96,71	175.285.000	172.877.000	0	0	0,0%	0	-	-	-	-	
AFOF11	ALIANZA FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO	Títulos e Val. Mob.	Ativa	81,31	22/10/2021	61,40	270,42	125.143	56.200.800	691.192	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=AFOF11&tipo=2	2,91%	6,8%	0,81	2,36	10,30	100,58	70.428.500	69.520.500	0	0	0,0%	0	-	-	-	-	
AGCX11	FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO BRAVO RENDA VAREJO - FII	Outros	Ativa	1.235,50	30/04/2019	0,00	0,00	0	14.317.200.000	11.588.199	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=AGCX11&tipo=2	0,52%	0,0%	10,90	6,48	0,00	113,35	1.550.280.000	1.313.540.000	87	88	104,1%	152.031	873	98.045	0,9%	0,0%	
AIEC11	AUTONOMY EDIFÍCIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII	Lajes Corporativas	Ativa	73,78	22/10/2021	72,50	92,05	593.718	355.988.000	4.824.988	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=AIEC11&tipo=2	6,74%	10,1%	0,73	4,98	6,95	100,53	509.643.000	485.071.000	2	2	98,9%	22.989	851	15.320	5,6%	0,0%	
ALMI11	FII TORRE ALMIRANTE	Lajes Corporativas	Passiva	1.075,00	22/10/2021	943,00	1.374,40	40.739	119.515.000	111.177	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=ALMI11&tipo=2	0,10%	0,0%	0,52	1,06	0,00	2.058,96	232.939.000	228.909.000	1	25	96,3%	16.588	397	6.938	5,7%	98,5%	
ALZR11	ALIANZA TRUST RENDA IMOBILIARIA - FUNDO DE INVESTIMENTO IMOBILIARIO	Híbrido	Ativa	114,29	22/10/2021	113,14	126,18	981.822	676.827.000	5.922.011	31/08/2021	https://fundamentus.com.br/fii_proventos.php?papel=ALZR11&tipo=2	3,88%	5,6%	1,05	4,43	5,45	108,59	942.713.000	643.073.000	13	13	104,6%	113.613	276	6.232	4,4%	0,0%	
ANCR11B	FII ANCAR IC	Shoppings	Ativa	3.366,00	22/09/2021	3.052,61	3.951,60	78	1.518.450.000	451.113	-	https://fundamentus.com.br/fii_proventos.php?papel=ANCR11B&tipo=2	4,28%	1,1%	1,00	144,11	37,53	3.368,54	1.554.050.000	1.519.590.000	3	3	98,7%	102.767	1.139	14.586	7,8%	0,0%	
ARCT11	RIZA ARCTIUM REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO	Híbrido	Ativa	100,52	22/10/2021	69,59	116,92	335.692	160.588.000	1.597.568	30/06/2021	https://fundamentus.com.br/fii_proventos.php?papel=ARCT11&tipo=2	3,00%	12,8%	0,97	3,01	11,63	103,11	170.311.000	164.725.000	6	5	53,5%	228.279	21	376	5,5%	0,0%	
ARRI11	FUNDO DE INVESTIMENTO IMOBILIÁRIO ÁTRIO REIT RECEBÍVEIS IMOBILIÁRIOS	Títulos e Val. Mob.	Ativa	96,80	22/10/2021	72,40	110,70	152.234	101.477.000	1.048.320	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=ARRI11&tipo=2	4,22%	12,7%	1,02	4,08	7,03	95,07	101.871.000	99.661.600	0	0	0,0%	0	-	-	-	-	
ATSA11	HEDGE ATRIUM SHOPPING SANTO ANDRÉ FUNDO DE INVESTIMENTO IMOBILIÁRIO	Shoppings	Passiva	98,01	21/10/2021	98,01	118,00	7.589	171.629.000	1.751.141	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=ATSA11&tipo=2	-1,23%	0,0%	0,99	-1,20	0,00	98,56	172.695.000	172.593.000	1	234	98,4%	32.559	-31	5.186	-0,6%	21,3%	
BARI11	FUNDO DE INVESTIMENTO IMOBILIÁRIO BARIGUI RENDIMENTOS IMOBILIÁRIOS I FII	Títulos e Val. Mob.	Ativa	103,56	22/10/2021	87,07	106,92	1.465.650	479.917.000	4.634.191	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=BARI11&tipo=2	8,35%	14,6%	1,01	8,64	12,06	102,14	480.936.000	473.324.000	0	0	0,2%	0	-	-	0,0%	-	
BBFI11B	BB FUNDO DE INVESTIMENTO IMOBILIARIO PROGRESSIVO	Lajes Corporativas	Passiva	2.280,00	22/10/2021	1.727,34	2.496,38	432.095	296.400.000	130.000	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=BBFI11B&tipo=2	13,21%	13,4%	0,90	301,22	309,31	2.531,78	342.008.000	329.132.000	2	2	94,2%	86.312	484	3.235	15,0%	0,0%	
BBFO11	BB FUNDO DE FUNDOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO	Títulos e Val. Mob.	Passiva	72,58	22/10/2021	72,03	94,89	104.446	290.603.000	4.003.900	31/08/2021	https://fundamentus.com.br/fii_proventos.php?papel=BBFO11&tipo=2	4,06%	6,4%	0,83	2,95	4,69	87,84	354.269.000	351.715.000	0	0	0,0%	0	-	-	-	-	
BBPO11	BB PROGRESSIVO II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII	Lajes Corporativas	Passiva	91,70	22/10/2021	91,10	125,70	3.070.590	1.459.840.000	15.919.690	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=BBPO11&tipo=2	9,64%	13,5%	0,96	8,84	12,46	95,88	1.528.210.000	1.526.340.000	63	63	93,6%	372.421	441	3.670	12,0%	0,0%	
BBRC11	BB RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII	Outros	Passiva	100,12	22/10/2021	100,01	135,79	128.432	159.191.000	1.590.000	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=BBRC11&tipo=2	12,01%	10,7%	0,88	12,03	10,85	113,40	181.179.000	180.307.000	20	20	95,0%	15.319	1.351	9.871	13,7%	0,0%	
