ticker	nome	segmento	tipoGestao	cotacao	patrimonioLiquido	vpPorCota	ultimoRendimento	p_vp	negociacoesDiarias	ultimoDividendYield	dividendYieldL52W_media	dividendYieldL52W_mediana	dividendYieldL52W_desvioPadrao	dividendYieldL52W_coefVariacao	dividendYieldL52W_tamAmostra	dividendYieldL52W_dataRefMaisRecente
ABCP11	FDO INV IMOB GRAND PLAZA SHOPPING	Shoppings	1.000.000	R$ 70,79	R$ 1,1 bi	R$ 91,73	15,05%	0,77	2.119	0,83%	0,00573	0,00606	0,00256	0	70	Dezembro/2021
AFCR11	AF INVEST FDO INV. IMOB. - RECEBÍVEIS IMOB.	Híbrido	668.732	R$ 103,15	R$ 154,9 mi	R$ 102,29	1,05%	1,01	957	1,25%	0,00989	0,00926	0,00169	0	16	Outubro/2021
AFHI11	AF INVEST CRI FDO. INV. IMOB – RECEBÍVEIS IMOB.	Títulos e Val. Mob.	1.787.671	R$ 98,50	R$ 176,8 mi	R$ 98,91	0,92%	1,00	5.990	1,28%	0,01023	0,01053	0,00200	0	7	Novembro/2021
AFOF11	ALIANZA FOFII FDO. INVEST. IMOB.	Títulos e Val. Mob.	1.000.000	R$ 85,75	R$ 66,8 mi	R$ 96,65	4,35%	0,89	1.088	1,02%	0,03448	0,01056	0,03516	0	6	Novembro/2021
AIEC11	AUTONOMY EDIFÍCIOS CORPORATIVOS FUND. INV. IMOB.	Lajes Corporativas	4.800.000	R$ 72,55	R$ 486,5 mi	R$ 100,83	7,70%	0,72	6.793	0,83%	0,00706	0,00694	0,00093	0	15	Dezembro/2021
ALMI11	FDO INV IMOB - FII TORRE ALMIRANTE	Lajes Corporativas	104.700	R$ 1.075,00	R$ 250,2 mi	R$ 2.250,83	2,27%	0,48	18	0,00%	0,00000	0,00000	0,00000	0	34	Outubro/2018
ALZR11	ALIANZA TRUST RENDA IMOBILIARIA FDO INV IMOB	Logística	997.042	R$ 112,15	R$ 643,1 mi	R$ 108,59	6,48%	1,03	7.934	0,60%	0,00498	0,00536	0,00105	0	48	Novembro/2021
ANCR11B	FDO INV IMOB - FII ANCAR IC	N/A	276.117	R$ 3.500,00	R$ 1,5 bi	R$ 3.359,75	N/A	1,04	1	N/A	
APTO11	NAVI RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO	Híbrido	99.000	R$ 10,60	R$ 9,5 mi	R$ 9,59	N/A	1,11	332	0,30%	0,00297	0,00297	0,00000	0	1	Dezembro/2021
AQLL11	ÁQUILLA FDO INV IMOB - FII	Títulos e Val. Mob.	500.00	R$ 500,00	R$ 145,5 mi	R$ 1.481,39	0,00%	0,34	1	0,00%	0,00000	0,00000	0,00000	0	4	Abril/2016
ARCT11	RIZA ARCTIUM REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO	Híbrido	1.597.568	R$ 106,40	R$ 164,9 mi	R$ 103,20	2,30%	1,03	6.515	1,70%	0,01362	0,00909	0,00900	0	20	Novembro/2021
ARFI11B	ÁQUILLA RENDA FDO INV IMOB - FII	Títulos e Val. Mob.	106.856	R$ 1.109,00	R$ 134,5 mi	R$ 1.179,65	0,00%	0,94	153	N/A	nan	nan	nan	0	0	N/A
ARRI11	FUNDO DE INVESTIMENTO IMOBILIÁRIO ÁTRIO REIT RECEBÍVEIS IMOBILIÁRIOS	Títulos e Val. Mob.	392.374	R$ 96,31	R$ 97,9 mi	R$ 93,42	5,85%	1,03	3.854	1,79%	0,01209	0,01139	0,00318	0	25	Dezembro/2021
ATCR11	ÁTICO RENDA FDO INV IMOB - FII	Títulos e Val. Mob.	221.500	N/A	R$ 88,5 mi	R$ 95,31	0,00%	N/A	N/A	N/A	nan	nan	nan	0	0	N/A
ATSA11	HEDGE ATRIUM SHOPPING SANTO ANDRE FDO INV IMOB	Shoppings	1.715.200	R$ 96,05	R$ 171,9 mi	R$ 98,18	0,92%	0,98	19	0,18%	0,00228	0,00203	0,00143	0	50	Fevereiro/2020
ATWN11	FDO. INV. IMOB. A–TOWN	N/A	160.714	N/A	R$ 93,2 mi	R$ 579,63	N/A	N/A	N/A	N/A	
BARI11	FDO INV IMOB BARIGUI RENDIMENTOS IMOB I FII	Títulos e Val. Mob.	734.191	R$ 102,33	R$ 471,5 mi	R$ 101,75	3,44%	1,01	8.631	1,30%	0,01188	0,01092	0,00248	0	31	Dezembro/2021
BBFI11B	BB FDO INV IMOB PROGRESSIVO	Lajes Corporativas	130.000	R$ 2.288,00	R$ 330,6 mi	R$ 2.542,76	19,40%	0,90	132	1,66%	0,01204	0,01191	0,00203	0	72	Dezembro/2021
BBFO11	BB FUNDO DE FUNDOS - FDO. INV. IMOB.	Títulos e Val. Mob.	4.003.900	R$ 74,97	R$ 328,8 mi	R$ 82,12	11,40%	0,91	91	0,87%	0,00679	0,00701	0,00171	0	12	Dezembro/2021
BBIM11	BB RECEBIVEIS IMOBILIARIOS FDO INV IMOB - FII	Títulos e Val. Mob.	625.000	N/A	R$ 49,9 mi	R$ 48,19	0,00%	N/A	N/A	0,00%	0,00000	0,00000	0,00000	0	7	Dezembro/2021
BBPO11	BB PROGRESSIVO II FDO INV IMOB - FII	Lajes Corporativas	15.919.690	R$ 91,95	R$ 1,5 bi	R$ 96,01	9,28%	0,96	9.243	0,95%	0,00916	0,00938	0,00070	0	72	Dezembro/2021
BBRC11	BB RENDA CORPORATIVA FDO INV IMOB - FII	Outros	1.590.000	R$ 103,95	R$ 181,5 mi	R$ 114,14	23,34%	0,91	365	0,84%	0,00797	0,00778	0,00083	0	72	Dezembro/2021
BBVJ11	FDO INV IMOB BB VOTORANTIM JHSF C JARD CONT TOWER	Lajes Corporativas	2.710.000	R$ 62,99	R$ 155 mi	R$ 57,18	19,96%	1,10	763	0,61%	0,00125	0,00062	0,00221	0	36	Dezembro/2018
BCFF11	FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS	Títulos e Val. Mob.	20.562.973	R$ 70,09	R$ 1,9 bi	R$ 76,72	4,90%	0,91	26.540	0,71%	0,00630	0,00617	0,00059	0	71	Novembro/2021
BCIA11	BRADESCO CARTEIRA IMOBILIÁRIA ATIVA - FII	Títulos e Val. Mob.	820.115	R$ 85,79	R$ 365,4 mi	R$ 98,24	7,99%	0,87	5.439	0,74%	0,00678	0,00680	0,00069	0	72	Dezembro/2021
BCRI11	BANESTES RECEBÍVEIS IMOBILIÁRIOS FDO INV IMOB FII	Títulos e Val. Mob.	500.000	R$ 107,70	R$ 661,7 mi	R$ 105,73	5,18%	1,02	7.326	1,25%	0,01059	0,01034	0,00165	0	72	Dezembro/2021
BICR11	INTER TÍTULOS IMOB. FDO INV. IMOB.	Títulos e Val. Mob.	500.000	R$ 98,00	R$ 49,5 mi	R$ 98,92	0,59%	0,99	1	0,59%	0,00400	0,00344	0,00150	0	25	Dezembro/2021
BIME11	BRIO MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOB.	N/A	30.000.000	R$ 9,30	R$ 55,5 mi	R$ 9,50	1,05%	0,98	10.318	1,05%	0,01055	0,01055	0,00000	0	1	Dezembro/2021
